t,x,y,angle
0.05722999572753906,421,234,50.19442890773481
0.26569294929504395,377,274,35.445710327598235
0.3031129837036133,344,296,25.048409305236767
0.38581299781799316,261,314,1.2960634980171208
0.4033820629119873,216,308,-9.374647020891295
0.4201021194458008,172,294,-21.60552724263848
0.43672919273376465,112,267,-38.98146539141869
0.45267295837402344,84,238,-49.56664560539863
0.46878790855407715,79,232,-51.42106082349074
0.48508501052856445,80,233,-51.09586154459581
0.5152969360351562,103,256,-42.96120536073284
0.5653231143951416,121,265,-37.99215277102313
0.6150529384613037,179,296,-19.18990075942722
0.6712629795074463,214,307,-10.209234076060742
0.7189621925354004,293,308,11.875163979700107
0.7695741653442383,333,299,22.13957626499913
0.8194282054901123,386,266,37.806529944704465
0.867868185043335,400,253,42.75425743410493
0.9202051162719727,413,242,47.23117460803125
0.9756588935852051,412,244,46.66833744829331
1.0220248699188232,392,264,39.67271155181333
1.074836015701294,369,278,32.59258147259926
1.1245942115783691,312,306,15.910028140283494
1.168626070022583,272,316,6.170175095029609
1.2182362079620361,234,312,-5.2418199469795566
1.2755131721496582,168,296,-22.719997281457676
1.3207530975341797,127,277,-34.84303448063771
1.3699860572814941,112,267,-38.78077031120884
1.4208431243896484,107,256,-42.20275647716592
1.469529151916504,111,258,-41.061260916148804
1.524501085281372,121,272,-36.35139795855335
1.57309889793396,157,290,-25.974393962431318
1.6192922592163086,183,302,-17.942447089158676
1.6749281883239746,249,308,-1.0809241866606887
1.724748134613037,281,312,7.220721904956838
1.7703979015350342,338,295,23.301209710510175
1.8239820003509521,361,284,30.068582821862453
1.8743350505828857,384,267,37.504142360270144
1.9222981929779053,389,266,38.90413845540419
1.972325086593628,382,272,36.505624210191016
2.0264949798583984,372,280,33.045517197506925
2.0744922161102295,335,297,22.619864948040426
2.1238579750061035,305,304,14.743562836470735
2.1741700172424316,245,312,-2.37496151576137
2.221485137939453,216,316,-9.713251024940284
2.273952007293701,167,293,-22.92280068446368
2.3264501094818115,150,293,-26.793775628803157
2.3730690479278564,132,281,-32.68874511990872
2.4258639812469482,130,277,-33.690067525979785
2.4781579971313477,144,286,-29.357753542791276
2.5217299461364746,158,296,-24.721155867929195
2.575939178466797,198,308,-14.534455080540122
2.6231300830841064,228,307,-5.896963510210823
2.6714091300964355,278,312,6.311210575132623
2.7246060371398926,304,310,14.098930291396254
2.7756400108337402,343,292,25.159301916031655
2.8204779624938965,353,288,27.73419050498541
2.875047206878662,362,282,30.96375653207352
2.924604892730713,360,286,29.97289058597137
2.9719951152801514,342,292,24.57397523691099
3.0235869884490967,326,302,19.98310652189998
3.0742099285125732,307,306,14.981632572390918
3.121601104736328,260,312,3.150716413267741
3.1745920181274414,236,312,-4.479460452350279
3.2256500720977783,195,309,-15.210426216402103
3.269695997238159,180,300,-19.093492000485615
3.324934244155884,162,297,-23.805943518457717
3.370544195175171,157,294,-25.29714233858729
3.4241020679473877,166,301,-22.46321248940715
3.4761672019958496,177,307,-19.467909201804407
3.520611047744751,205,304,-13.255872481677512
3.574460983276367,224,306,-6.927218126009166
3.626477003097534,265,313,3.0802101366458268
3.6728110313415527,284,306,9.374647020891295
3.7244129180908203,316,308,17.216073587790714
3.7751479148864746,327,302,20.40422845905544
3.820932149887085,334,296,22.437459474566264
3.874377965927124,332,300,21.560063906565105
3.9255590438842773,318,302,17.935288994058315
3.96956205368042,308,308,15.030430523433274
4.026026964187622,277,312,7.475737385548222
4.076528072357178,256,314,0.0
4.12230920791626,226,306,-7.258030107651239
4.169680118560791,215,304,-10.734377793491475
4.219520092010498,193,301,-16.270731215544814
4.265862226486206,184,309,-17.87869659584134
4.318892955780029,184,306,-17.628019367819636
4.3750081062316895,187,310,-16.602746170265167
4.41918683052063,208,314,-11.75793552058417
4.473682880401611,220,308,-8.280682242721747
4.526503086090088,230,308,-6.134409943923921
4.573976993560791,258,308,1.051180749543747
4.62590217590332,275,314,6.903553919725023
4.676048040390015,292,310,10.856413348062246
4.723982095718384,301,308,13.404562562903815
4.775645017623901,306,308,15.232355184385371
4.823332071304321,304,308,14.162168055312756
4.8726630210876465,292,310,10.905022045234448
4.925585985183716,288,308,10.444195475355848
4.9756951332092285,264,316,4.140886003519859
